,,,Season Price & Arrival Report (2023-24),,,
,,,Kharif Marketing Season Marketing Season 01 Oct - 30 Sep ,,Rabi Marketing Season Marketing Season 01 Apr - 31 Mar ,
Commodity Group,Commodity,MSP (Rs./Quintal) 2023-24,Kharif Marketing Season Price (Rs./Quintal),Kharif Marketing Season Arrival (Metric Tonnes),Rabi Marketing Season Price (Rs./Quintal),Rabi Marketing Season Arrival (Metric Tonnes)
Cereals,Jowar(Sorghum),3180.00,3487.00,327.00,-,-
Cereals,Maize,2090.00,2168.11,58573.43,-,-
Cereals,Paddy(Common),2183.00,723.83,258279.18,-,-
Fibre Crops,Cotton,6620.00,6464.63,44473.93,-,-
Oil Seeds,Groundnut,6377.00,6282.53,2540.79,-,-
Oil Seeds,Mustard,5450.00,-,-,4681.69,0.54
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",8635.00,11538.87,57.64,-,-
Oil Seeds,Soyabean,4600.00,3829.40,0.73,-,-
Oil Seeds,Sunflower/Sunflower Seed,6400.00,3707.96,16.45,-,-
Pulses,Arhar(Tur/Red Gram)(Whole),7000.00,9106.68,1940.70,-,-
Pulses,Bengal Gram(Gram)(Whole),5335.00,-,-,4878.40,19.56
Pulses,Black Gram(Urd Beans)(Whole),6950.00,-,-,8068.46,67.71
Pulses,Green Gram(Moong)(Whole),8558.00,-,-,7415.78,338.98

