,,,Season Price & Arrival Report (2024-25),,,
,,,Kharif Marketing Season Marketing Season 01 Oct - 30 Sep ,,Rabi Marketing Season Marketing Season 01 Apr - 31 Mar ,
Commodity Group,Commodity,MSP (Rs./Quintal) 2024-25,Kharif Marketing Season Price (Rs./Quintal),Kharif Marketing Season Arrival (Metric Tonnes),Rabi Marketing Season Price (Rs./Quintal),Rabi Marketing Season Arrival (Metric Tonnes)
Cereals,Jowar(Sorghum),3371.00,2573.75,168.97,-,-
Cereals,Maize,2225.00,2260.06,21260.88,-,-
Cereals,Paddy(Common),2300.00,2458.80,22712.60,-,-
Fibre Crops,Cotton,7121.00,6621.09,15395.95,-,-
Oil Seeds,Groundnut,6783.00,5161.79,379.12,-,-
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9267.00,8637.18,43.13,-,-
Oil Seeds,Soyabean,4892.00,3459.00,0.07,-,-
Oil Seeds,Sunflower/Sunflower Seed,7280.00,4631.00,2.11,-,-
Pulses,Arhar(Tur/Red Gram)(Whole),7550.00,6518.18,4307.65,-,-
Pulses,Bengal Gram(Gram)(Whole),5440.00,-,-,5405.92,17.66
Pulses,Black Gram(Urd Beans)(Whole),7400.00,-,-,7828.34,69.39
Pulses,Green Gram(Moong)(Whole),8682.00,-,-,7190.77,571.48

