,,,Season Price & Arrival Report (2025-26),,,
,,,Kharif Marketing Season Marketing Season 01 Oct - 30 Sep ,,Rabi Marketing Season Marketing Season 01 Apr - 31 Mar ,
Commodity Group,Commodity,MSP (Rs./Quintal) 2025-26,Kharif Marketing Season Price (Rs./Quintal),Kharif Marketing Season Arrival (Metric Tonnes),Rabi Marketing Season Price (Rs./Quintal),Rabi Marketing Season Arrival (Metric Tonnes)
Cereals,Jowar(Sorghum),3699.00,2804.97,26.29,-,-
Cereals,Maize,2400.00,1989.03,4870.62,-,-
Cereals,Paddy(Common),2369.00,2436.03,2846.82,-,-
Fibre Crops,Cotton,7710.00,6700.75,12536.85,-,-
Oil Seeds,Groundnut,7263.00,5066.59,252.07,-,-
Oil Seeds,Safflower,5940.00,-,-,5669.00,0.10
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,8391.83,3.33,-,-
Oil Seeds,Soyabean,5328.00,3452.00,0.20,-,-
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,6033.13,18.18,-,-
Pulses,Bengal Gram(Gram)(Whole),5650.00,-,-,5840.51,15.18
Pulses,Black Gram(Urd Beans)(Whole),7800.00,-,-,6543.64,12.40
Pulses,Green Gram(Moong)(Whole),8768.00,-,-,5794.74,28.07

